"species_name","species_nl_name","trend_kind","trend_overall","trend_last_12_years","index_1990","index_1991","index_1992","index_1993","index_1994","index_1995","index_1996","index_1997","index_1998","index_1999","index_2000","index_2001","index_2002","index_2003","index_2004","index_2005","index_2006","index_2007","index_2008","index_2009","index_2010","index_2011","index_2012","index_2013","index_2014","index_2015","index_2016","index_2017","index_2018","index_2019","index_2020"
"Mirundo rustica","Boerenzwaluw","Population Size","Moderate Decline","Stabile",100,74,79,64,50,50,41,49,48,56,56,53,50,74,56,60,55,54,55,58,51,53,39,42,51,56,49,55,53,58,57
"Emberiza citrinella","Geelgors","Population Size","Moderate Increase","Stabile",100,99,108,132,162,163,180,185,195,195,183,193,205,211,219,237,243,247,217,222,234,256,261,253,278,236,235,227,231,227,236
"Motacilla flava","Gele Kwikstaart","Population Size","Stabile","Moderate Increase",100,77,87,78,78,106,105,108,109,103,112,90,74,65,80,72,84,74,78,85,85,101,83,90,96,91,94,98,84,96,108
"Sylvia communis","Grasmus","Population Size","Moderate Increase","Moderate Increase",100,101,109,99,88,90,92,98,114,116,127,113,101,100,116,103,115,123,125,143,150,185,162,171,178,174,165,172,166,184,203
"Anthus pratensis","Graspieper","Population Size","Stabile","Moderate Increase",100,79,81,82,86,82,79,71,79,77,79,79,79,74,78,77,70,70,74,72,73,75,73,65,79,77,83,80,76,79,93
"Miliaria calandra","Grauwe Gors","Population Size","Strong Decline","Uncertain",100,80,75,87,97,61,50,74,55,30,28,24,11,17,11,13,4,3,4,2,1,8,2,0,1,0,0,0,0,1,0
"Turdus viscivorus","Grote Lijster","Population Size","Moderate Decline","Moderate Decline",100,89,94,82,84,106,99,85,77,67,65,65,65,62,67,70,62,73,62,56,46,53,55,47,54,54,55,47,39,42,47
"Limosa limosa","Grutto","Population Size","Moderate Decline","Moderate Decline",100,86,83,89,93,80,75,73,73,67,68,66,63,62,60,52,53,45,46,42,43,43,41,39,38,36,35,32,33,32,31
"Philomachus pugnax","Kemphaan","Population Size","Strong Decline","Strong Decline",100,89,89,76,56,60,34,51,48,35,33,28,29,20,17,11,4,4,3,5,3,5,7,4,5,5,3,3,2,1,0
"Vanellus vanellus","Kievit","Population Size","Moderate Decline","Moderate Decline",100,94,89,95,101,97,104,98,90,99,95,92,89,91,91,82,81,72,74,61,61,62,52,54,56,60,53,50,47,45,46
"Coturnix coturnix","Kwartel","Population Size","Stabile","Moderate Decline",100,41,129,87,122,88,97,247,206,174,148,154,160,81,133,185,127,133,207,116,118,397,178,109,107,155,103,99,73,126,94
"Perdix perdix","Patrijs","Population Size","Strong Decline","Moderate Decline",100,112,102,132,91,69,73,64,51,45,46,44,42,39,43,54,54,49,42,29,31,29,25,20,21,15,17,13,15,17,21
