species_name,conservation_status,species_en_name,species_nl_name,wikipedia_url
"Alauda arvensis","Least Concern","Eurasian skylark","Veldleeuwerik","https://en.wikipedia.org/wiki/Eurasian_skylark"
"Anas clypeata","Least Concern","Northern shoveler","Slobeend","https://en.wikipedia.org/wiki/Northern_shoveler"
"Anthus pratensis","Least Concern","Meadow pipit","Graspieper","https://en.wikipedia.org/wiki/Meadow_pipit"
"Athene noctua","Least Concern","Litle owl","Steenuil","https://en.wikipedia.org/wiki/Little_owl"
"Carduelis carduelis","Least Concern","European goldfinch","Putter","https://en.wikipedia.org/wiki/European_goldfinch"
"Corvus frugilegus","Least Concern","Rook","Roek","https://en.wikipedia.org/wiki/Rook_(bird)"
"Coturnix coturnix","Near Threatened","Common quail","Kwartel","https://en.wikipedia.org/wiki/Common_quail"
"Emberiza citrinella","Least Concern","Yellowhammer","Geelgors","https://en.wikipedia.org/wiki/Yellowhammer"
"Falco tinnunculus","Least Concern","Common kestrel","Torenvalk","https://en.wikipedia.org/wiki/Common_kestrel"
"Gallinago gallinago","Least Concern","Common snipe","Watersnip","https://en.wikipedia.org/wiki/Common_snipe"
"Haematopus ostralegus","Near Threatened","Eurasian oystercatcher","Scholekster","https://en.wikipedia.org/wiki/Eurasian_oystercatcher"
"Hippolais icterina","Least Concern","Icterine warbler","Spotvogel","https://en.wikipedia.org/wiki/Icterine_warbler"
"Hirundo rustica","Least Concern","Barn swallow","Boerenzwaluw","https://en.wikipedia.org/wiki/Barn_swallow"
"Limosa limosa","Near Threatened","Black-tailed godwit","Grutto","https://en.wikipedia.org/wiki/Black-tailed_godwit"
"Miliaria calandra","Least Concern","Corn bunting","Grauwe Gors","https://en.wikipedia.org/wiki/Corn_bunting"
"Motacilla flava","Least Concern","Western yellow wagtail","Gele Kwikstaart","https://en.wikipedia.org/wiki/Western_yellow_wagtail"
"Numenius arquata","Near Threatened","Eurasian curlew","Wulp","https://en.wikipedia.org/wiki/Eurasian_curlew"
"Passer montanus","Least Concern","Eurasian tree sparrow","Ringmus","https://en.wikipedia.org/wiki/Eurasian_tree_sparrow"
"Perdix perdix","Least Concern","Grey partridge","Patrijs","https://en.wikipedia.org/wiki/Grey_partridge"
"Philomachus pugnax","Least Concern","Ruff","Kemphaan","https://en.wikipedia.org/wiki/Ruff_(bird)"
"Saxicola torquata","Least Concern","African stonechat","Roodborsttapuit","https://en.wikipedia.org/wiki/African_stonechat"
"Streptopelia turtur","Vulnerable","European turtle dove","Zomertortel","https://en.wikipedia.org/wiki/European_turtle_dove"
"Sturnus vulgaris","Least Concern","Common starling","Spreeuw","https://en.wikipedia.org/wiki/Common_starling"
"Sylvia communis","Least Concern","Common whitethroat","Grasmus","https://en.wikipedia.org/wiki/Common_whitethroat"
"Tringa totanus","Least Concern","Common redshank","Tureluur","https://en.wikipedia.org/wiki/Common_redshank"
"Turdus viscivorus","Least Concern","Mistle thrush","Grote Lijster","https://en.wikipedia.org/wiki/Mistle_thrush"
"Vanellus vanellus","Near Threatened","Northern lapwing","Kievit","https://en.wikipedia.org/wiki/Northern_lapwing"
